,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-04,1175.3327636719,54.3731193542,23.909275054899997,271.6531677246,35.192993164099995,49.297931671099995,204.2521514893,667.8923339844,497.8796386719,353.5054321289,3884.9711914062,5391.134765625,11185.1318359375,3048.2229003906,117.3882446289,42.1214027405,95.40782165530001,57.26379776,33.4982566833,151.0877380371,416.15032958980004,593.5774536133,2245.3347167969,383.46798706050004,298.5820617676,1327.7993164062,4135.3520507812,721.4114379883,295.9204711914,100.8282394409,26.937425613400002,24.5414466858,189.40003967290002,229.8027801514,311.5747070312,51.9145889282,151.962387085,93.7622299194,28.879489898699997,2460.765625,106.01810455319999,201.3926239014,199.65660095209998,170.9754638672,202.2909698486,159.1881103516,678.3641357422
2021-02-05,1154.5301513672,55.246547699,27.0258235931,258.4542236328,35.1924095154,47.816677093500005,200.36935424799998,650.3453369141,476.0790100098,353.4127807617,3801.2917480469,5327.39453125,10894.0712890625,2944.693359375,114.8299942017,38.9820632935,96.5830993652,54.120056152299995,34.6673622131,147.0003814697,430.2413024902,575.9553222656,2158.4624023438,390.628326416,298.8579101562,1249.7042236328,4019.9401855469,717.4736938477,308.8195800781,104.08834838870001,25.8324260712,24.6158771515,179.352142334,216.2918548584,314.9538879395,48.1872673035,148.57403564450001,87.2828979492,26.3271064758,2366.3708496094,103.54853057860001,186.09838867189998,189.9447631836,171.6556396484,197.49661254880002,147.0618133545,653.7354736328
2021-02-06,1136.9259033203,55.722618103,28.607275009200002,248.7229614258,34.7964706421,46.4534683228,196.06762695310002,631.8470458984,453.5230102539,356.0339050293,3708.29296875,5285.890625,10696.767578125,2839.70703125,111.90417480469999,36.3766136169,95.27472686770001,51.6875839233,35.072769165,141.2877960205,431.3906555176,561.9821166992,2055.0043945312,393.6680603027,297.4247436523,1173.0936279297,3844.220703125,714.6534423828,315.4126586914,105.92943573,24.805141449,24.344335556,171.54705810549999,204.5227508545,314.5130310059,45.069625854499996,145.6907043457,81.90547943119999,24.2581253052,2260.9819335938,100.0474243164,174.1865386963,182.2907867432,169.689453125,191.54592895509998,136.1471557617,621.7740478516
2021-02-07,1105.2309570312,55.360023498500006,29.156524658200002,238.96711730959998,33.7916221619,44.883560180699995,189.66452026369998,614.145324707,429.7614440918,348.8508911133,3613.5915527344,5230.4575195312,10462.9853515625,2701.0666503906,109.49928283690001,34.2429466248,92.7482757568,49.8486061096,35.1537094116,134.7361602783,431.15966796879997,555.354309082,1969.896484375,399.4275817871,294.4559936523,1103.5390625,3709.4309082031,708.2650756836,320.2985229492,106.4464797974,23.8173160553,23.8150348663,164.875869751,193.73654174799998,313.8179321289,42.4066429138,142.8236846924,77.5348739624,22.5840301514,2159.7622070312,96.1852035522,164.9184265137,176.0242767334,168.6064453125,184.9754638672,126.5119400024,600.1860351562
2021-02-08,1056.6950683594,54.4493942261,29.0583724976,230.79991149900002,32.467792511,43.180000305200004,183.66064453119998,604.7116088867,407.7388916016,341.4436645508,3512.6079101562,5201.9301757812,10346.537109375,2587.0378417969,108.591545105,32.6205596924,90.149887085,48.6820869446,35.145362854,129.11100769040002,440.2109069824,552.7183227539,1910.3657226562,406.7266540527,290.6082458496,1036.6573486328,3599.7099609375,700.0235595703,321.3920898438,106.4122772217,22.8860836029,23.100767135599998,159.225982666,183.96144104,314.041229248,40.1216964722,140.0000457764,74.50472259520001,21.240505218499997,2053.880859375,92.2930221558,157.54914855959998,171.0887451172,168.8009338379,178.3848571777,117.9429321289,582.1712036133
2021-02-09,1027.7775878906,53.5650177002,28.6104202271,223.9934997559,31.0287208557,41.6095695496,178.04942321779998,599.3485717773,386.9021911621,334.487487793,3418.3198242188,5123.314453125,10194.1787109375,2483.4265136719,107.6853942871,31.314031601,86.9668273926,47.9030761719,35.0482521057,123.363494873,440.58029174800004,548.0059204102,1851.9685058594,418.48068237300004,285.7765808105,977.6734008789,3538.140625,689.6553955078,319.3821716309,106.2018585205,22.0596885681,22.3422698975,154.3445587158,175.6371307373,315.7327270508,38.1995315552,137.0427093506,72.2713699341,20.1813373566,1958.7740478516,88.4305114746,151.7125549316,167.4514007568,170.10528564450001,172.1269378662,110.3645248413,571.0629882812
2021-02-10,991.5453491211,53.6030235291,27.9905357361,217.78414916990002,29.6289596558,40.188583374000004,174.048324585,599.1701660156,366.8329162598,330.8866882324,3313.1516113281,5080.7856445312,10064.228515625,2386.1533203125,108.3307647705,30.353643417399997,83.6334991455,47.5628738403,34.9177627563,118.48622894290001,443.6288146973,546.7672729492,1845.9782714844,436.0026550293,281.177520752,923.1440429688,3555.7727050781,677.3334960938,316.1461181641,106.43280029299999,21.3210792542,21.533679962199997,150.0527038574,168.5677490234,319.4004821777,36.5589447021,134.0016784668,71.2602844238,19.2817382812,1861.3558349609,84.7038269043,147.0135192871,164.8651733398,175.47004699709998,166.1929626465,103.69194793700001,569.3892211914
2021-02-11,972.239074707,53.8506813049,27.245317459099997,214.17668151860002,28.311000824,39.0252113342,170.17364501950001,620.4407958984,349.3085632324,328.3592529297,3231.1477050781,5054.5756835938,9903.986328125,2321.9152832031,108.49610900879999,29.5475139618,80.0026702881,47.231147766099994,34.665725708000004,113.2989730835,443.7992553711,542.068359375,1808.2254638672,449.4577636719,274.3194580078,871.7907104492,3500.1975097656,667.1060180664,309.4793395996,106.6362533569,20.6743774414,20.7227039337,146.1725616455,163.2550811768,321.8501586914,35.1659660339,130.85807800290002,70.468460083,18.5895404816,1762.9451904297,81.4260101318,143.00759887700002,163.091217041,180.3527984619,160.5779266357,97.68914031979999,567.4711914062
2021-02-12,962.4064941406,54.6593170166,26.5055122375,209.65339660639998,27.1001682281,38.130054473899996,166.05891418459998,650.3890380859,333.5963439941,337.8114013672,3157.4790039062,5046.0395507812,9683.537109375,2272.875,110.0944213867,28.959140777600002,76.424987793,47.1879844666,34.324382782,108.22959899899999,445.385559082,536.7559814453,1731.9763183594,464.04248046879997,267.872467041,824.650390625,3479.3002929688,664.5878295898,301.7185058594,107.42303466799999,20.1312503815,19.9619445801,142.1991729736,159.569442749,327.5729675293,33.992435455300004,127.69407653809999,70.2584609985,18.099582672100002,1677.7009277344,78.5626678467,139.7615203857,162.01109313959998,190.62782287599998,155.3085327148,92.24443817139999,572.3949584961
2021-02-13,931.0602416992,54.7912483215,25.5619602203,203.0855102539,25.895008087199997,37.081699371300004,161.83126831049998,682.7827758789,318.6402587891,341.3455200195,3043.2973632812,4976.3911132812,9371.90625,2186.7316894531,111.3580932617,28.460771560700003,73.0853347778,47.3618927002,33.915580749499995,104.1054153442,451.8793334961,533.7358398438,1713.9370117188,477.3738708496,261.5074768066,779.1303100586,3397.3862304688,665.6650390625,289.6214599609,107.96416473389999,19.610956192,19.2277030945,138.8614196777,157.39070129389998,330.9933776855,32.9705352783,124.48198699950001,70.3524093628,17.6226043701,1589.5245361328,75.8709411621,136.64949035639998,161.2688140869,196.91357421880002,150.1377868652,87.258140564,574.5762329102
