,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-06,1174.4613037109,52.3321266174,23.9709796906,239.85096740720002,31.3059425354,47.9656105042,215.5488739014,689.5394287109,504.9133300781,406.7127380371,3801.1799316406,5012.4487304688,10417.7109375,2977.6528320312,110.5950927734,39.9813346863,114.0166854858,52.003749847399995,30.6965808868,141.279296875,389.303894043,565.3116455078,2032.4022216797,339.1544494629,308.8582763672,1257.7626953125,3812.3212890625,924.6090087891,286.0328063965,95.59809112549999,26.2904529572,22.369468689,175.8336486816,204.4414520264,294.2561340332,42.490619659400004,134.3988800049,85.5312728882,26.129743576,2239.3833007812,98.3573303223,171.3792877197,183.64669799799998,156.3321228027,182.6859436035,144.9086151123,652.0894165039
2021-02-07,1181.7719726562,50.5944099426,23.941902160599998,232.2792510986,30.3556957245,47.6407279968,217.57244873049999,694.7278442383,490.6634521484,410.2742614746,3788.9365234375,5006.6333007812,10115.4326171875,2954.7102050781,105.3145828247,39.2709884644,126.7570877075,49.759101867700004,29.858285903899997,136.6794586182,390.276184082,568.6478271484,1949.7166748047,332.1278381348,310.2156982422,1211.9255371094,3655.8127441406,940.4100952148,286.745300293,95.0681686401,25.904060363800003,22.0657157898,168.87855529790002,194.81407165529998,287.3234558105,39.3614006042,131.7304534912,82.7565841675,26.493894577,2144.6030273438,96.1943283081,164.08757019040002,176.2398986816,151.9429168701,177.6383666992,141.4209442139,636.1127929688
2021-02-08,1198.1884765625,49.5056190491,24.030960083000004,227.1274871826,29.450323104899997,47.2729759216,221.5908813477,706.9258422852,476.317199707,413.408782959,3744.591796875,4953.912109375,9963.3818359375,2948.865234375,100.4589920044,38.7244567871,134.2005615234,47.993106841999996,29.5082969666,132.9362182617,388.0249328613,565.5786132812,1857.3962402344,325.8160095215,311.0832214355,1169.2937011719,3534.3208007812,953.1667480469,286.0287780762,94.51993560790001,25.5303268433,21.584453582800002,163.077545166,185.6307983398,283.359954834,36.5390472412,128.4188079834,80.1379470825,26.8878479004,2049.1628417969,93.9272537231,157.9384765625,169.4243164062,147.9745178223,174.2684020996,137.7017364502,623.6383666992
2021-02-09,1223.6741943359,48.851875305200004,24.211597442600002,221.86311340330002,28.5132064819,46.901515960699996,224.19786071779998,716.6719970703,461.95263671879997,417.5248413086,3679.1010742188,4908.9052734375,10006.294921875,2923.6459960938,96.0438613892,38.3496589661,139.1591491699,46.6699180603,29.568174362199997,130.0079803467,383.27838134769996,568.9067993164,1785.4378662109,319.9911499023,311.1473693848,1131.0255126953,3487.6140136719,962.8549804688,284.098236084,94.1894302368,25.207265853899997,21.0598888397,158.6393737793,176.84692382810002,282.2798461914,33.9886054993,124.6648330688,77.7461166382,27.2571716309,1953.2355957031,91.4072570801,152.8115844727,163.5886230469,145.0331420898,172.04676818849998,133.9180603027,617.5603637695
2021-02-10,1217.8498535156,48.7013435364,24.386516570999998,214.9457244873,27.5343570709,46.5408744812,229.0196228027,736.8114013672,447.7449951172,423.764251709,3616.4243164062,4844.4624023438,10034.896484375,2894.6743164062,91.90941619870001,37.95545578,141.168838501,45.7420425415,29.840024948099998,127.7414321899,376.73794555660004,576.1497802734,1726.9937744141,315.9215087891,310.5111083984,1097.9528808594,3447.2155761719,972.3633422852,280.989440918,94.0966567993,24.941032409699996,20.49568367,155.35987854,168.7341766357,283.0370178223,31.7057056427,120.6467132568,75.9324874878,27.6645679474,1844.7777099609,88.7248382568,148.543258667,158.9253540039,143.0956878662,170.2363891602,130.03074646,615.7680664062
2021-02-11,1251.3142089844,49.126701355,24.6406230927,205.7423095703,26.598154068000003,46.2153739929,237.1360321045,769.4514770508,435.0001220703,432.1891784668,3560.1357421875,4722.7880859375,10143.2138671875,2881.9719238281,88.1693191528,37.7013244629,141.5401306152,45.248714447,30.405670166,125.9902801514,369.5189208984,577.2650146484,1659.2650146484,313.1098327637,309.5090637207,1068.4299316406,3415.1057128906,983.7662353516,277.2409973145,93.999168396,24.733745575,19.989315033,152.8717956543,161.3907928467,286.0106811523,29.623210906999997,116.4725189209,74.6251678467,28.2912769318,1741.5096435547,86.0936965942,144.98960876459998,155.49630737299998,141.3111877441,169.2081756592,126.3800125122,621.1366577148
2021-02-12,1297.0029296875,49.8884391785,24.8736038208,197.36799621580002,25.641632080100003,45.9726448059,244.1487121582,799.9197387695,420.7315673828,436.4652099609,3523.9738769531,4595.2993164062,10095.5966796875,2865.0930175781,84.6754760742,37.4369926453,140.3330230713,45.134803772,31.0857486725,124.3380279541,359.4789428711,584.2373046875,1605.7054443359,310.5004272461,307.6850891113,1039.6739501953,3410.7348632812,996.6481933594,272.4368591309,93.99161529540001,24.572719574,19.5269069672,151.1258850098,154.84730529790002,289.5609436035,27.727519989,112.26873779299999,73.7236099243,29.0483036041,1646.2690429688,83.35530853270001,141.9786834717,153.2140045166,140.3700256348,167.6739959717,122.7935028076,627.3902587891
2021-02-13,1325.9147949219,50.9728660583,25.1363983154,189.66189575200002,24.6837177277,45.3517799377,247.3027801514,807.0994873047,407.4684753418,437.66888427730004,3465.1875,4474.7875976562,10076.009765625,2793.0559082031,81.5357589722,37.1731033325,137.5711364746,45.264701843299996,31.8210315704,122.60743713379999,348.1716918945,586.1434936523,1549.8376464844,307.4110107422,305.3882446289,1010.1612548828,3393.7409667969,1011.2009277344,268.2070922852,93.82587432860001,24.4465408325,19.105714798,150.3069000244,149.1070556641,293.4304199219,25.997467041,107.96374511719999,72.5530853271,29.954524993899998,1552.0900878906,80.52197265619999,139.0403442383,151.5036621094,136.7003326416,166.8068084717,119.3958816528,637.7670288086
2021-02-14,1340.5002441406,52.8270339966,25.5698661804,183.8205413818,23.780754089400002,44.8530693054,245.9168701172,797.5350341797,394.2566833496,435.2490539551,3404.7348632812,4406.6455078125,9991.259765625,2771.4677734375,78.7988433838,37.0218887329,133.9684906006,45.7585525513,32.687343597399995,121.3502960205,337.3576049805,595.5905151367,1500.4067382812,303.6661071777,301.4493713379,981.5252685547,3425.0126953125,1025.5845947266,263.7268676758,94.04914855959998,24.352024078400003,18.7244224548,150.2331695557,144.4534606934,299.7911682129,24.4268493652,103.4082946777,71.4674224854,30.795160293600002,1466.8970947266,78.2163848877,136.26678466799999,150.89421081540002,136.5303344727,166.81925964360002,116.4648513794,658.6083374023
2021-02-15,1341.4248046875,54.9061470032,25.8646240234,179.1060180664,22.935750961300002,44.6929550171,244.0740203857,789.1157226562,379.6065368652,429.57443237300004,3326.1086425781,4315.2182617188,9854.345703125,2742.578125,75.87814331050001,36.651512146,129.5268859863,46.5238990784,33.4135513306,120.4260635376,326.4938659668,604.7319335938,1454.9625244141,301.4020385742,297.0933227539,953.9665527344,3437.2524414062,1036.0178222656,255.05924987790002,94.1961746216,24.2366199493,18.4421100616,150.9811401367,140.8606262207,306.1537475586,22.99559021,99.06240081790001,70.8025360107,31.799961090100002,1389.5034179688,75.7320022583,133.58279418950002,150.9895172119,137.11013793950002,164.96745300290002,113.9427261353,671.0618286133
