,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-06,1160.4857177734,51.6908721924,23.6448078156,236.9895324707,30.928821563699998,47.380805969200004,212.9524383545,681.2426757812,498.7630615234,401.2415161133,3755.1843261719,4952.7758789062,10290.07421875,2943.208984375,109.2648696899,39.4909172058,112.4475708008,51.3446121216,30.3128490448,139.5293121338,384.6800537109,558.514465332,2008.2404785156,335.0736999512,305.0745544434,1242.4326171875,3766.1843261719,912.4597167969,282.6195068359,94.3698959351,25.9640426636,22.0992679596,173.7684020996,201.96237182619998,290.821105957,41.917911529499996,132.7325592041,84.4720687866,25.813867569,2211.2336425781,97.13871002200001,169.307723999,181.4077758789,154.4443969727,180.01750183110002,143.1566772461,644.4036865234
2021-02-07,1155.4215087891,49.446758270299995,23.333993911700002,227.06860351560002,29.669372558600003,46.5693511963,212.657623291,679.0059814453,479.4658508301,400.0701599121,3702.6245117188,4893.767578125,9882.7646484375,2890.2058105469,102.9436950684,38.356616973899996,123.3855438232,48.5776023865,29.1599597931,133.506149292,381.5395202637,555.7770996094,1906.2392578125,324.6390991211,303.0284118652,1184.1694335938,3572.7614746094,917.4763183594,280.3325195312,92.7839279175,25.262027740500002,21.5689868927,165.1427459717,190.334487915,281.0142211914,38.3574714661,128.6352386475,80.8404159546,25.888544082600003,2094.1745605469,93.9527130127,160.3775177002,172.21934509279998,148.4804840088,172.79035949709998,138.2148590088,622.00390625
2021-02-08,1160.6064453125,47.9374237061,23.1750125885,219.9003295898,28.5043563843,45.763984680200004,214.52124023439998,684.3631591797,461.0157165527,399.0887451172,3624.0881347656,4795.8369140625,9640.453125,2857.7373046875,97.25673675540001,37.4493484497,129.10636901860002,46.3859214783,28.5358257294,128.5817871094,375.7654418945,547.4967651367,1798.9578857422,315.310546875,300.9331359863,1131.4680175781,3421.18359375,920.8583984375,276.9931945801,91.3293304443,24.620985031100002,20.8991737366,157.9783172607,179.6103668213,274.5444946289,35.2162818909,124.13143157959999,77.5079574585,26.0203838348,1981.501953125,90.8184738159,152.8576202393,163.9808654785,143.1863861084,167.5357513428,133.2843475342,604.1055908203
2021-02-09,1175.4716796875,46.912979126,23.137935638400002,212.971206665,27.358051300000003,45.016033172600004,215.20262146,687.8952026367,443.268371582,399.47494506839996,3530.2897949219,4711.3515625,9598.9482421875,2809.6716308594,92.1842346191,36.7579231262,132.5141296387,44.7024154663,28.343826293899998,124.64839935299999,368.04415893550004,545.9888916016,1714.7264404297,306.9756164551,298.4115905762,1085.3275146484,3347.4528808594,922.3830566406,272.7921447754,90.2098770142,24.0720367432,20.217536926300003,152.3955383301,169.6483917236,271.2404174805,32.4471893311,119.411277771,74.52811431880001,26.150499343899998,1872.1982421875,87.6285476685,146.6058044434,156.98667907709998,139.0965118408,163.9415435791,128.4830322266,593.2517700195
2021-02-10,1161.3930664062,46.4228363037,23.1271457672,204.7594909668,26.2209358215,44.325668335,218.14540100099998,701.7651367188,426.2652587891,402.26708984379997,3444.0712890625,4613.4228515625,9553.3662109375,2760.9116210938,87.5401687622,36.0887756348,133.2730407715,43.4702568054,28.3669261932,121.541267395,359.1136779785,548.7261352539,1646.1242675781,300.7309875488,295.5362243652,1045.1968994141,3283.8894042969,924.6723022461,267.7750854492,89.43272399899999,23.594263076799997,19.5258216858,148.1586608887,160.6323699951,269.8992614746,29.998128891,114.6452026367,72.2289428711,26.3361930847,1754.4245605469,84.3861160278,141.4285125732,151.3539123535,136.1582336426,160.9407196045,123.7755966187,587.1356201172
2021-02-11,1185.2838134766,46.519897460900005,23.210384368899998,194.6757659912,25.1595058441,43.7087516785,224.29670715330002,727.5378417969,411.28341674800004,407.3966369629,3367.6721191406,4467.388671875,9591.0380859375,2730.3286132812,83.4134140015,35.593414306599996,132.6627044678,42.7186317444,28.6892318726,119.0741958618,349.9114379883,546.0441894531,1571.01171875,295.9861450195,292.6550598145,1009.8605957031,3231.470703125,929.4484863281,262.4203491211,88.75542449950001,23.214698791500002,18.9132938385,144.83810424799998,152.5989227295,270.822845459,27.820003509499998,109.88675689700001,70.5007324219,26.7389068604,1644.7606201172,81.3040466309,137.09765625,147.0905914307,133.5317230225,158.8607940674,119.4721450806,588.3305664062
2021-02-12,1220.8094482422,46.9538993835,23.289680480999998,185.644821167,24.1062507629,43.2002334595,229.44932556150002,751.3220214844,395.3465881348,408.9888305664,3313.5642089844,4320.5751953125,9489.078125,2698.0583496094,79.5812301636,35.1311569214,130.7700500488,42.3484382629,29.132894516,116.8315353394,338.3556213379,549.201965332,1511.09375,291.6852111816,289.1942138672,976.3416748047,3207.8225097656,936.1510009766,256.3200378418,88.2249679565,22.9014205933,18.3629112244,142.3516235352,145.53594970700001,272.4624938965,25.8642559052,105.2763977051,69.2237548828,27.2763595581,1545.0546875,78.2379455566,133.4112854004,144.0473632812,131.8236236572,156.4400024414,115.38639831540002,590.7464599609
2021-02-13,1240.8604736328,47.7086334229,23.409288406399998,177.4150848389,23.076997756999997,42.3726539612,231.0984954834,753.6510620117,380.8014831543,408.0138244629,3240.9426269531,4184.6484375,9420.3388671875,2616.125,76.18185424800001,34.697788238499996,127.59713745120001,42.2257995605,29.6523666382,114.6017532349,325.9488830566,547.9594726562,1450.625,287.1819152832,285.5087280273,943.1565551758,3174.7646484375,944.8517456055,250.99856567380002,87.6038894653,22.6402397156,17.86419487,140.7902374268,139.3874969482,274.5378112793,24.106992721599998,100.66082000729999,67.7654495239,27.9585819244,1448.8944091797,75.1649551392,129.9194335938,141.6953277588,127.6590270996,154.88932800290002,111.57836151120001,597.2849121094
2021-02-14,1248.0880126953,49.180255889899996,23.6978645325,171.1063232422,22.1185302734,41.689785003699996,228.66883850099998,741.0675048828,366.6659851074,403.91021728519996,3169.3959960938,4101.5751953125,9296.9951171875,2583.5385742188,73.2428131104,34.3969993591,123.76558685299999,42.4709625244,30.2977981567,112.894241333,314.3303527832,554.0545654297,1397.5233154297,282.2759399414,280.5369567871,911.6930541992,3188.5791015625,953.7963256836,245.6306304932,87.39998626709999,22.4577922821,17.423084259,140.0108795166,134.4174041748,278.982208252,22.535892486599998,95.9449768066,66.4311065674,28.589292526199998,1362.8723144531,72.6557769775,126.700553894,140.4575042725,126.8724975586,154.23991394040002,108.2905960083,613.6371459961
2021-02-15,1243.4184570312,50.8517570496,23.8673400879,165.9825744629,21.2326793671,41.3629302979,225.9926147461,730.182800293,351.4918212891,397.0701293945,3082.2185058594,3999.4501953125,9130.5869140625,2545.7434082031,70.2085494995,33.910797119099996,119.24765014649999,42.9833602905,30.8193340302,111.5819549561,302.9184570312,560.0350952148,1349.2413330078,279.0686340332,275.3403320312,882.0043945312,3186.2365722656,959.4489746094,236.5633239746,87.15877532959999,22.2651672363,17.0868110657,140.0632476807,130.5333404541,283.5070495605,21.119403839100002,91.5199432373,65.5403442383,29.376367569,1285.3031005859,70.0280151367,123.6929397583,139.9695587158,126.85559082030001,151.9953613281,105.46427154540001,622.3054199219
