,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
JP-01,10.0,253.8,373.6,534.0,385.9,542.1,594.8,750.4,732.3,766.3,813.4,834.8,831.0,858.2,606.0,790.4,823.9,892.7,855.6,761.7,940.4,933.6,955.4,1015.5,1012.1,1015.1,1057.9,1071.6,1045.4,1118.1,1038.7,1104.7,1132.0,1232.6,1306.1,1159.9,1157.2,1267.0,1255.8,1417.1,1454.9,1523.4,1470.5,1382.7,1514.9,1592.3,2243.8
JP-02,253.8,10.0,129.3,284.0,134.2,288.7,342.1,498.3,478.6,513.4,559.6,581.9,577.3,604.5,356.5,551.4,590.2,659.1,603.5,513.8,698.3,681.3,711.0,772.1,774.8,778.7,821.7,838.1,806.7,882.1,820.2,897.8,909.1,1020.6,1100.9,927.8,930.9,1047.8,1028.6,1215.4,1251.1,1318.9,1259.7,1168.4,1293.5,1374.7,2019.4
JP-03,373.6,129.3,10.0,161.1,90.1,176.2,224.9,378.3,365.6,410.9,447.0,463.9,463.8,490.8,272.4,480.2,525.8,592.4,502.9,427.2,618.2,579.1,626.9,688.6,700.6,705.8,748.1,767.9,729.9,808.0,767.7,855.4,850.3,971.2,1056.6,857.9,868.0,991.0,963.4,1172.9,1206.4,1272.9,1208.5,1115.0,1231.7,1316.2,1951.0
JP-04,534.0,284.0,161.1,10.0,174.2,44.6,67.7,217.2,208.3,263.0,288.9,303.1,304.9,331.7,167.2,367.8,419.2,479.9,354.5,298.1,488.8,427.8,492.8,553.9,575.6,582.2,622.8,645.9,601.5,681.0,666.0,763.0,739.1,868.5,958.2,734.6,752.1,879.6,843.3,1074.9,1105.5,1169.9,1100.6,1005.6,1112.4,1199.6,1821.7
JP-05,385.9,134.2,90.1,174.2,10.0,165.6,220.8,376.1,350.5,380.5,430.5,456.6,448.7,475.8,222.3,420.3,461.6,529.9,469.9,379.8,565.5,547.8,577.5,638.8,643.6,647.9,690.7,708.3,674.9,751.1,697.5,780.6,783.7,899.9,983.0,798.2,803.9,923.6,900.8,1098.7,1133.3,1200.4,1138.5,1046.0,1167.4,1250.1,1891.2
JP-06,542.1,288.7,176.2,44.6,165.6,10.0,55.2,210.9,190.7,235.5,272.1,293.3,289.4,316.5,123.4,327.3,377.9,440.0,327.6,261.5,453.3,403.1,459.0,520.5,539.0,545.3,586.4,608.7,566.0,645.2,624.7,720.6,699.6,827.6,916.8,697.8,713.6,840.3,805.9,1033.5,1064.6,1129.4,1060.9,966.1,1075.0,1161.7,1787.4
JP-07,594.8,342.1,224.9,67.7,220.8,55.2,10.0,156.3,141.3,195.9,222.4,240.0,238.9,265.9,128.3,311.8,364.5,422.0,287.0,236.8,425.3,360.1,427.9,488.7,512.9,519.9,559.7,583.8,537.8,617.3,610.2,709.8,679.9,811.3,902.2,671.7,691.3,819.8,781.1,1018.5,1048.2,1111.8,1041.2,946.0,1049.8,1137.6,1756.4
JP-08,750.4,498.3,378.3,217.2,376.1,210.9,156.3,10.0,56.3,124.5,89.7,86.8,99.3,122.9,214.5,292.4,343.6,381.1,185.3,205.9,352.5,240.5,345.1,399.3,440.2,449.1,483.1,511.3,457.0,534.4,567.9,674.4,619.3,757.0,850.6,592.4,622.9,753.0,702.8,964.2,989.4,1048.9,973.2,878.3,965.9,1055.9,1652.0
JP-09,732.3,478.6,365.6,208.3,350.5,190.7,141.3,56.3,10.0,76.2,81.4,108.8,98.8,125.9,166.8,239.4,291.6,333.5,155.0,152.6,313.5,222.5,309.7,367.2,402.2,410.6,446.9,473.8,422.1,500.8,522.2,627.6,578.7,715.2,808.4,557.8,584.7,714.9,668.4,923.0,949.5,1010.3,936.1,840.9,934.3,1023.6,1629.6
JP-10,766.3,513.4,410.9,263.0,380.5,235.5,195.9,124.5,76.2,10.0,79.5,129.6,96.4,117.1,167.7,169.0,219.4,257.8,92.1,83.9,238.5,168.5,236.6,295.8,327.3,335.5,372.6,399.0,348.6,427.8,446.1,551.8,502.9,639.1,732.2,484.1,509.5,639.5,594.5,846.9,873.6,934.8,861.0,765.7,861.5,950.4,1562.0
JP-11,813.4,559.6,447.0,288.9,430.5,272.1,222.4,89.7,81.4,79.5,10.0,51.2,19.0,45.4,233.7,237.9,283.9,310.0,100.0,158.7,270.1,150.8,259.8,311.8,356.1,365.4,397.4,426.3,370.7,447.1,491.3,598.8,536.5,674.9,768.7,505.4,538.0,667.8,615.5,881.1,905.1,963.6,887.1,792.5,877.3,967.5,1562.4
JP-12,834.8,581.9,463.9,303.1,456.6,293.3,240.0,86.8,108.8,129.6,51.2,10.0,40.2,47.0,273.2,288.6,333.5,356.2,141.0,209.9,309.5,172.9,296.0,343.3,392.6,402.4,431.6,461.4,404.0,477.9,533.6,641.4,573.5,712.1,806.0,536.7,572.6,701.5,645.8,917.0,939.6,996.6,918.9,824.9,903.6,994.2,1578.3
JP-13,831.0,577.3,463.8,304.9,448.7,289.4,238.9,99.3,98.8,96.4,19.0,40.2,10.0,27.2,252.7,249.4,293.6,316.1,101.7,172.8,271.3,142.8,259.1,308.7,355.7,365.3,395.9,425.2,368.7,443.9,494.6,602.3,536.6,675.1,769.0,502.5,536.7,666.1,612.2,880.6,904.0,961.7,884.6,790.2,872.3,962.7,1553.6
JP-14,858.2,604.5,490.8,331.7,475.8,316.5,265.9,122.9,125.9,117.1,45.4,47.0,27.2,10.0,277.9,259.1,300.2,316.8,100.3,187.5,265.3,126.0,250.5,296.6,347.1,356.9,385.4,415.3,357.6,431.1,490.4,598.3,527.9,666.5,760.3,489.9,526.3,655.0,598.9,870.8,893.2,949.9,872.1,778.2,856.7,947.3,1533.2
JP-15,606.0,356.5,272.4,167.2,222.3,123.4,128.3,214.5,166.8,167.7,233.7,273.2,252.7,277.9,10.0,209.2,257.5,322.1,251.7,157.7,346.4,329.6,356.6,418.2,428.2,433.5,475.7,495.8,457.7,535.7,503.6,597.9,581.5,707.0,795.3,585.7,597.5,722.4,691.9,912.1,943.7,1009.1,941.9,847.5,960.6,1046.1,1678.6
JP-16,790.4,551.4,480.2,367.8,420.3,327.3,311.8,292.4,239.4,169.0,237.9,288.6,249.4,259.1,209.2,10.0,53.6,113.0,167.3,86.8,151.3,218.1,170.3,227.1,223.4,227.6,270.4,288.3,255.5,330.8,298.6,398.5,372.6,500.6,590.7,378.3,388.4,513.5,483.2,707.3,737.7,802.1,733.7,639.0,751.7,836.9,1471.8
JP-17,823.9,590.2,525.8,419.2,461.6,377.9,364.5,343.6,291.6,219.4,283.9,333.5,293.6,300.2,257.5,53.6,10.0,69.0,203.1,139.3,133.8,239.7,159.0,207.1,189.2,191.4,234.2,248.3,223.7,294.2,246.8,345.4,324.6,449.8,539.0,337.6,342.7,465.5,439.3,655.7,686.7,751.7,684.4,590.2,706.5,790.5,1429.7
JP-18,892.7,659.1,592.4,479.9,529.9,440.0,422.0,381.1,333.5,257.8,310.0,356.2,316.1,316.8,322.1,113.0,69.0,10.0,216.5,187.5,87.4,230.2,116.1,150.4,122.0,123.3,165.7,179.3,157.1,225.5,189.9,294.2,259.7,389.3,480.5,268.7,275.6,400.6,371.3,596.7,626.2,690.1,620.9,526.1,639.2,724.1,1361.3
JP-19,855.6,603.5,502.9,354.5,469.9,327.6,287.0,185.3,155.0,92.1,100.0,141.0,101.7,100.3,251.7,167.3,203.1,216.5,10.0,115.0,170.1,78.1,160.2,214.3,256.1,265.4,298.1,326.7,271.8,349.2,392.8,500.6,436.5,574.8,668.7,407.1,438.3,568.3,517.5,781.1,805.4,864.2,788.1,693.3,781.4,871.2,1474.6
JP-20,761.7,513.8,427.2,298.1,379.8,261.5,236.8,205.9,152.6,83.9,158.7,209.9,172.8,187.5,157.7,86.8,139.3,187.5,115.0,10.0,192.0,186.7,199.7,261.4,277.6,284.1,324.9,347.8,304.6,383.7,377.3,480.3,443.3,576.0,667.7,436.6,454.6,583.0,545.2,783.7,812.5,875.6,804.5,709.3,814.2,901.5,1526.3
JP-21,940.4,698.3,618.2,488.8,565.5,453.3,425.3,352.5,313.5,238.5,270.1,309.5,271.3,265.3,346.4,151.3,133.8,87.4,170.1,192.0,10.0,158.1,28.8,75.9,88.8,97.1,134.7,160.5,112.8,192.2,225.8,333.5,266.9,404.9,498.7,246.7,271.3,401.4,356.6,611.8,637.0,697.1,622.6,527.4,624.7,713.0,1334.3
JP-22,933.6,681.3,579.1,427.8,547.8,403.1,360.1,240.5,222.5,168.5,150.8,172.9,142.8,126.0,329.6,218.1,239.7,230.2,78.1,186.7,158.1,10.0,136.5,173.6,229.6,239.9,263.9,294.4,235.5,306.5,381.7,488.5,408.4,546.5,640.1,365.3,404.0,531.5,473.6,748.7,769.8,825.5,747.1,653.6,730.7,821.3,1411.6
JP-23,955.4,711.0,626.9,492.8,577.5,459.0,427.9,345.1,309.7,236.6,259.8,296.0,259.1,250.5,356.6,170.3,159.0,116.1,160.2,199.7,28.8,136.5,10.0,61.8,96.7,106.4,138.0,166.5,112.4,191.3,245.2,352.1,277.6,416.2,510.1,248.2,278.2,408.1,358.7,621.5,645.3,704.0,628.2,533.2,624.9,714.1,1328.9
JP-24,1015.5,772.1,688.6,553.9,638.8,520.5,488.7,399.3,367.2,295.8,311.8,343.3,308.7,296.6,418.2,227.1,207.1,150.4,214.3,261.4,75.9,173.6,61.8,10.0,66.0,76.0,90.7,121.5,62.1,135.3,224.0,325.8,235.9,373.4,466.7,193.8,230.4,358.4,303.7,575.1,596.7,653.3,575.9,481.7,567.3,656.9,1267.7
JP-25,1012.1,774.8,700.6,575.6,643.6,539.0,512.9,440.2,402.2,327.3,356.1,392.6,355.7,347.1,428.2,223.4,189.2,122.0,256.1,277.6,88.8,229.6,96.7,66.0,10.0,10.5,47.5,71.7,35.6,107.6,158.3,261.7,180.9,319.5,413.4,159.0,182.8,313.0,268.3,525.0,549.3,608.8,533.9,438.7,536.9,624.8,1250.5
JP-26,1015.1,778.7,705.8,582.2,647.9,545.3,519.9,449.1,410.6,335.5,365.4,402.4,365.3,356.9,433.5,227.6,191.4,123.3,265.4,284.1,97.1,239.9,106.4,76.0,10.5,10.0,43.0,63.9,38.0,103.4,148.1,251.2,171.2,309.8,403.7,152.6,174.2,304.3,261.2,515.7,540.2,600.0,525.6,430.3,530.1,617.7,1245.2
JP-27,1057.9,821.7,748.1,622.8,690.7,586.4,559.7,483.1,446.9,372.6,397.4,431.6,395.9,385.4,475.7,270.4,234.2,165.7,298.1,324.9,134.7,263.9,138.0,90.7,47.5,43.0,10.0,30.9,28.7,60.5,147.9,241.5,145.3,282.8,376.2,112.0,140.9,270.4,222.0,485.5,508.1,566.1,490.2,395.2,490.1,578.3,1202.9
JP-28,1071.6,838.1,767.9,645.9,708.3,608.7,583.8,511.3,473.8,399.0,426.3,461.4,425.2,415.3,495.8,288.3,248.3,179.3,326.7,347.8,160.5,294.4,166.5,121.5,71.7,63.9,30.9,10.0,59.5,51.6,124.7,212.9,114.4,252.1,345.7,90.0,111.7,241.7,197.4,455.6,478.8,537.6,462.4,367.2,466.5,553.8,1183.5
JP-29,1045.4,806.7,729.9,601.5,674.9,566.0,537.8,457.0,422.1,348.6,370.7,404.0,368.7,357.6,457.7,255.5,223.7,157.1,271.8,304.6,112.8,235.5,112.4,62.1,35.6,38.0,28.7,59.5,10.0,79.6,171.4,268.3,173.9,311.3,404.6,135.8,168.7,297.5,246.3,513.4,535.6,593.0,516.4,421.8,513.0,601.9,1221.8
JP-30,1118.1,882.1,808.0,681.0,751.1,645.2,617.3,534.4,500.8,427.8,447.1,477.9,443.9,431.1,535.7,330.8,294.2,225.5,349.2,383.7,192.2,306.5,191.3,135.3,107.6,103.4,60.5,51.6,79.6,10.0,165.2,237.9,123.1,250.0,340.6,58.8,104.3,225.8,168.4,444.5,463.9,519.0,441.0,347.2,433.7,522.8,1143.1
JP-31,1038.7,820.2,767.7,666.0,697.5,624.7,610.2,567.9,522.2,446.1,491.3,533.6,494.6,490.4,503.6,298.6,246.8,189.9,392.8,377.3,225.8,381.7,245.2,224.0,158.3,148.1,147.9,124.7,171.4,165.2,10.0,107.8,97.4,203.7,292.2,162.2,130.3,228.5,225.2,408.9,440.2,505.8,441.1,348.5,476.2,555.0,1205.2
JP-32,1104.7,897.8,855.4,763.0,780.6,720.6,709.8,674.4,627.6,551.8,598.8,641.4,602.3,598.3,597.9,398.5,345.4,294.2,500.6,480.3,333.5,488.5,352.1,325.8,261.7,251.2,241.5,212.9,268.3,237.9,107.8,10.0,120.8,131.0,203.1,208.4,154.9,182.8,216.7,318.2,353.3,421.2,365.9,280.9,422.8,491.8,1147.4
JP-33,1132.0,909.1,850.3,739.1,783.7,699.6,679.9,619.3,578.7,502.9,536.5,573.5,536.6,527.9,581.5,372.6,324.6,259.7,436.5,443.3,266.9,408.4,277.6,235.9,180.9,171.2,145.3,114.4,173.9,123.1,97.4,120.8,10.0,138.6,232.5,87.6,37.0,140.9,127.8,344.8,370.8,432.6,361.5,266.5,384.4,466.5,1112.1
JP-34,1232.6,1020.6,971.2,868.5,899.9,827.6,811.3,757.0,715.2,639.1,674.9,712.1,675.1,666.5,707.0,500.6,449.8,389.3,574.8,576.0,404.9,546.5,416.2,373.4,319.5,309.8,282.8,252.1,311.3,250.0,203.7,131.0,138.6,10.0,93.9,196.9,145.8,67.7,135.7,207.9,237.0,302.1,239.1,150.5,292.1,361.3,1016.7
JP-35,1306.1,1100.9,1056.6,958.2,983.0,916.8,902.2,850.6,808.4,732.2,768.7,806.0,769.0,760.3,795.3,590.7,539.0,480.5,668.7,667.7,498.7,640.1,510.1,466.7,413.4,403.7,376.2,345.7,404.6,340.6,292.2,203.1,232.5,93.9,10.0,285.2,237.5,125.5,202.8,116.7,150.3,218.2,169.0,105.9,252.3,303.5,956.1
JP-36,1159.9,927.8,857.9,734.6,798.2,697.8,671.7,592.4,557.8,484.1,505.4,536.7,502.5,489.9,585.7,378.3,337.6,268.7,407.1,436.6,246.7,365.3,248.2,193.8,159.0,152.6,112.0,90.0,135.8,58.8,162.2,208.4,87.6,196.9,285.2,10.0,56.5,167.6,110.5,386.7,405.4,460.2,382.2,288.4,378.1,466.4,1093.4
JP-37,1157.2,930.9,868.0,752.1,803.9,713.6,691.3,622.9,584.7,509.5,538.0,572.6,536.7,526.3,597.5,388.4,342.7,275.6,438.3,454.6,271.3,404.0,278.2,230.4,182.8,174.2,140.9,111.7,168.7,104.3,130.3,154.9,37.0,145.8,237.5,56.5,10.0,130.2,98.7,344.8,367.2,426.0,351.5,256.2,363.7,448.6,1088.7
JP-38,1267.0,1047.8,991.0,879.6,923.6,840.3,819.8,753.0,714.9,639.5,667.8,701.5,666.1,655.0,722.4,513.5,465.5,400.6,568.3,583.0,401.4,531.5,408.1,358.4,313.0,304.3,270.4,241.7,297.5,225.8,228.5,182.8,140.9,67.7,125.5,167.6,130.2,10.0,77.5,219.2,238.4,295.9,221.7,126.3,248.2,326.9,977.3
JP-39,1255.8,1028.6,963.4,843.3,900.8,805.9,781.1,702.8,668.4,594.5,615.5,645.8,612.2,598.9,691.9,483.2,439.3,371.3,517.5,545.2,356.6,473.6,358.7,303.7,268.3,261.2,222.0,197.4,246.3,168.4,225.2,216.7,127.8,135.7,202.8,110.5,98.7,77.5,10.0,289.0,302.6,353.4,273.8,182.0,269.1,356.5,990.8
JP-40,1417.1,1215.4,1172.9,1074.9,1098.7,1033.5,1018.5,964.2,923.0,846.9,881.1,917.0,880.6,870.8,912.1,707.3,655.7,596.7,781.1,783.7,611.8,748.7,621.5,575.1,525.0,515.7,485.5,455.6,513.4,444.5,408.9,318.2,344.8,207.9,116.7,386.7,344.8,219.2,289.0,10.0,41.1,108.0,95.5,118.4,210.3,227.3,861.1
JP-41,1454.9,1251.1,1206.4,1105.5,1133.3,1064.6,1048.2,989.4,949.5,873.6,905.1,939.6,904.0,893.2,943.7,737.7,686.7,626.2,805.4,812.5,637.0,769.8,645.3,596.7,549.3,540.2,508.1,478.8,535.6,463.9,440.2,353.3,370.8,237.0,150.3,405.4,367.2,238.4,302.6,41.1,10.0,68.5,65.7,122.4,182.2,188.9,820.0
JP-42,1523.4,1318.9,1272.9,1169.9,1200.4,1129.4,1111.8,1048.9,1010.3,934.8,963.6,996.6,961.7,949.9,1009.1,802.1,751.7,690.1,864.2,875.6,697.1,825.5,704.0,653.3,608.8,600.0,566.1,537.6,593.0,519.0,505.8,421.2,432.6,302.1,218.2,460.2,426.0,295.9,353.4,108.0,68.5,10.0,82.0,171.9,173.6,147.1,755.0
JP-43,1470.5,1259.7,1208.5,1100.6,1138.5,1060.9,1041.2,973.2,936.1,861.0,887.1,918.9,884.6,872.1,941.9,733.7,684.4,620.9,788.1,804.5,622.6,747.1,628.2,575.9,533.9,525.6,490.2,462.4,516.4,441.0,441.1,365.9,361.5,239.1,169.0,382.2,351.5,221.7,273.8,95.5,65.7,82.0,10.0,95.4,116.7,137.4,787.0
JP-44,1382.7,1168.4,1115.0,1005.6,1046.0,966.1,946.0,878.3,840.9,765.7,792.5,824.9,790.2,778.2,847.5,639.0,590.2,526.1,693.3,709.3,527.4,653.6,533.2,481.7,438.7,430.3,395.2,367.2,421.8,347.2,348.5,280.9,266.5,150.5,105.9,288.4,256.2,126.3,182.0,118.4,122.4,171.9,95.4,10.0,148.2,210.8,866.5
JP-45,1514.9,1293.5,1231.7,1112.4,1167.4,1075.0,1049.8,965.9,934.3,861.5,877.3,903.6,872.3,856.7,960.6,751.7,706.5,639.2,781.4,814.2,624.7,730.7,624.9,567.3,536.9,530.1,490.1,466.5,513.0,433.7,476.2,422.8,384.4,292.1,252.3,378.1,363.7,248.2,269.1,210.3,182.2,173.6,116.7,148.2,10.0,90.8,729.1
JP-46,1592.3,1374.7,1316.2,1199.6,1250.1,1161.7,1137.6,1055.9,1023.6,950.4,967.5,994.2,962.7,947.3,1046.1,836.9,790.5,724.1,871.2,901.5,713.0,821.3,714.1,656.9,624.8,617.7,578.3,553.8,601.9,522.8,555.0,491.8,466.5,361.3,303.5,466.4,448.6,326.9,356.5,227.3,188.9,147.1,137.4,210.8,90.8,10.0,655.7
JP-47,2243.8,2019.4,1951.0,1821.7,1891.2,1787.4,1756.4,1652.0,1629.6,1562.0,1562.4,1578.3,1553.6,1533.2,1678.6,1471.8,1429.7,1361.3,1474.6,1526.3,1334.3,1411.6,1328.9,1267.7,1250.5,1245.2,1202.9,1183.5,1221.8,1143.1,1205.2,1147.4,1112.1,1016.7,956.1,1093.4,1088.7,977.3,990.8,861.1,820.0,755.0,787.0,866.5,729.1,655.7,10.0
