,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
JP-01,7.3,33.6,29.7,32.9,37.5,20.9,34.2,38.0,40.5,46.7,39.6,38.4,28.2,37.3,34.4,31.7,51.2,59.2,22.5,40.0,45.8,35.5,49.8,55.1,57.4,47.7,39.1,39.9,46.0,55.5,53.8,65.1,52.7,49.0,65.4,44.5,46.9,61.0,54.0,41.5,79.3,24.0,44.7,68.6,16.7,41.8,71.2
JP-02,26.1,2.1,1.8,11.4,9.5,13.7,15.7,16.2,18.0,23.1,16.3,17.3,18.4,20.3,13.8,19.5,19.9,44.7,32.5,16.4,35.2,24.1,26.0,36.6,18.2,30.1,35.5,33.2,26.8,35.8,26.3,49.0,35.6,37.6,47.8,35.5,45.7,29.0,28.4,45.7,44.5,37.2,30.4,31.5,38.6,47.4,300.0
JP-03,23.1,6.6,2.1,8.0,7.9,11.9,11.8,14.2,10.5,14.3,14.2,16.0,16.5,18.5,20.2,18.8,18.2,27.5,16.0,18.8,21.6,18.5,21.9,22.5,36.1,33.2,27.3,21.6,43.6,36.3,34.8,28.7,42.1,38.6,27.7,37.6,31.2,23.4,27.6,34.5,49.6,21.4,30.1,28.5,29.0,24.6,21.3
JP-04,22.8,9.0,6.9,4.1,8.5,7.1,12.8,13.2,6.3,14.6,15.3,13.5,18.8,17.1,15.6,17.8,18.0,19.6,13.3,15.2,19.6,18.7,19.2,18.8,19.1,20.6,18.4,23.8,17.8,19.7,35.8,20.9,38.4,23.2,31.4,40.6,37.0,28.3,37.4,31.6,42.0,31.7,38.0,30.4,45.3,33.8,41.3
JP-05,24.6,5.7,12.0,14.9,4.3,15.9,15.8,17.5,15.8,18.3,17.6,17.9,16.3,17.2,13.8,17.0,28.8,29.4,23.0,25.4,19.8,21.7,21.2,21.2,25.0,36.2,29.7,34.9,41.6,38.1,34.7,43.0,44.4,45.7,38.5,45.9,42.6,45.2,51.7,41.7,39.5,43.0,49.8,40.4,41.7,40.0,300.0
JP-06,26.7,17.9,16.8,11.3,15.1,2.1,12.0,18.7,12.2,19.5,18.2,18.4,16.7,18.6,17.9,20.1,19.5,36.3,18.0,19.9,27.5,19.9,21.3,25.2,32.0,25.7,22.0,32.4,21.0,33.6,44.1,33.8,33.7,40.1,40.3,41.6,39.3,40.1,37.0,40.4,37.9,38.2,36.5,39.4,36.0,36.4,33.6
JP-07,33.2,20.0,12.8,14.6,16.9,13.6,3.5,11.2,15.0,17.0,16.6,18.4,18.1,18.9,14.3,24.5,21.5,20.6,19.8,17.7,24.1,18.0,20.1,14.4,18.2,23.0,20.8,24.9,23.1,26.8,36.3,31.1,33.7,38.6,29.6,41.7,30.1,30.9,40.6,32.4,30.1,24.7,31.8,34.9,31.9,35.5,42.2
JP-08,37.6,18.7,16.5,15.8,19.0,17.3,11.8,4.7,5.6,7.2,6.5,6.9,12.0,7.5,15.3,18.1,19.7,24.8,14.4,16.7,16.2,11.9,15.9,36.1,18.2,17.6,18.1,21.4,18.9,21.8,32.4,32.1,25.3,28.5,34.2,37.5,37.1,35.8,33.9,34.9,37.7,34.4,37.9,34.3,36.3,39.7,40.5
JP-09,42.4,29.6,17.2,11.3,16.7,14.7,8.7,5.1,2.2,7.2,6.6,9.4,11.6,10.3,12.1,16.0,15.5,18.3,12.8,13.5,16.9,15.2,15.2,16.9,16.5,17.4,17.8,19.7,18.5,18.3,24.6,27.7,21.9,21.8,29.3,39.7,20.0,30.5,21.0,32.6,35.2,26.4,30.8,29.0,38.5,44.3,45.4
JP-10,33.5,18.8,16.6,15.7,16.2,17.5,15.4,9.5,6.2,2.5,8.2,10.2,13.4,13.2,11.1,13.9,20.1,16.3,11.7,12.7,15.8,12.9,17.3,16.7,16.8,16.4,18.3,19.8,15.0,14.5,18.6,36.6,20.4,35.4,23.3,28.8,22.7,18.4,36.8,35.9,30.5,37.6,32.2,28.3,42.0,41.0,58.6
