,japan_prefecture_code,都道府県名,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27
0,JP-01,北海道,1170,1170,1500,1560,1660,1660,1660,1660,1835,1835,1835,1835,1835
1,JP-02,青森県,230,260,260,260,260,260,290,290,290,290,290,290,290
2,JP-03,岩手県,381,381,381,381,381,381,381,381,381,381,381,381,381
3,JP-04,宮城県,300,300,300,300,300,300,300,300,300,300,300,500,500
4,JP-05,秋田県,58,58,58,58,58,58,58,58,58,58,58,58,58
5,JP-06,山形県,188,188,188,108,108,108,108,108,108,108,134,134,134
6,JP-07,福島県,160,160,160,160,160,160,160,160,160,160,160,160,160
7,JP-08,茨城県,324,324,324,324,324,324,324,324,324,324,324,324,324
8,JP-09,栃木県,284,284,284,284,284,284,284,284,284,284,284,284,284
9,JP-10,群馬県,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
10,JP-11,埼玉県,1225,1225,1225,1225,1225,1351,1351,1351,1359,1359,1359,1359,1347
11,JP-12,千葉県,710,710,710,710,710,710,710,955,815,815,815,858,1038
12,JP-13,東京都,1910,1910,1910,1910,1910,1910,2360,2360,2360,2360,2360,2630,2630
13,JP-14,神奈川県,862,861,859,867,867,886,1134,1201,1201,1247,1261,1286,1347
14,JP-15,新潟県,176,176,176,176,176,176,176,176,176,176,176,176,176
15,JP-16,富山県,125,125,125,125,125,125,125,430,430,377,377,377,377
16,JP-17,石川県,340,340,340,340,340,340,340,340,340,340,340,340,340
17,JP-18,福井県,75,75,75,75,75,75,75,75,75,75,75,75,75
18,JP-19,山梨県,100,100,139,139,139,139,139,139,139,139,139,139,139
19,JP-20,長野県,250,250,250,250,250,250,250,250,250,250,250,250,250
20,JP-21,岐阜県,466,466,466,466,466,466,466,466,466,466,466,603,603
21,JP-22,静岡県,379,379,379,379,592,592,592,592,592,592,592,592,592
22,JP-23,愛知県,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
23,JP-24,三重県,100,100,100,100,100,100,100,100,100,100,100,100,100
24,JP-25,滋賀県,260,260,260,260,260,260,260,260,260,260,260,260,260
25,JP-26,京都府,338,338,338,338,338,338,338,338,338,338,826,826,826
26,JP-27,大阪府,1517,1517,1517,1517,1555,1789,2019,2019,2019,2019,2019,2206,2416
27,JP-28,兵庫県,698,698,698,698,698,988,988,988,988,988,988,988,988
28,JP-29,奈良県,108,108,108,108,108,108,108,108,250,250,250,250,250
29,JP-30,和歌山県,137,137,137,137,137,137,137,137,137,137,137,137,137
30,JP-31,鳥取県,340,340,340,340,340,340,340,340,340,340,340,340,340
31,JP-32,島根県,98,98,98,98,98,98,98,98,98,98,98,98,98
32,JP-33,岡山県,207,207,207,207,207,207,207,207,207,207,207,207,207
33,JP-34,広島県,709,709,709,709,794,794,934,934,934,819,819,1038,1038
34,JP-35,山口県,834,834,834,834,834,834,834,834,834,834,834,834,834
35,JP-36,徳島県,150,150,150,150,150,150,150,150,180,180,180,180,180
36,JP-37,香川県,101,101,101,101,101,101,101,101,101,101,101,101,101
37,JP-38,愛媛県,117,117,117,117,117,117,192,192,192,192,192,192,192
38,JP-39,高知県,361,361,361,361,361,361,361,361,361,203,203,203,203
39,JP-40,福岡県,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1387
40,JP-41,佐賀県,253,253,253,253,253,253,253,253,253,253,253,253,253
41,JP-42,長崎県,224,352,352,352,352,352,352,352,367,367,367,384,384
42,JP-43,熊本県,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,140,140,230
43,JP-44,大分県,700,700,700,700,700,700,700,700,700,700,700,700,700
44,JP-45,宮崎県,250,250,250,250,250,250,250,250,250,250,250,250,250
45,JP-46,鹿児島県,370,370,370,370,370,370,370,370,370,370,370,370,370
46,JP-47,沖縄県,370,370,370,370,370,370,370,370,370,370,370,370,370
