,japan_prefecture_code,都道府県名,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27
0,JP-01,北海道,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
1,JP-02,青森県,201,201,201,201,201,210,210,210,210,210,210,212,212
2,JP-03,岩手県,374,374,374,374,374,374,374,374,374,374,374,374,385
3,JP-04,宮城県,345,345,345,345,345,345,345,345,345,345,345,345,345
4,JP-05,秋田県,222,222,222,222,222,222,222,222,222,222,229,229,229
5,JP-06,山形県,216,216,216,216,216,216,216,216,216,216,216,216,216
6,JP-07,福島県,469,469,469,469,475,475,469,469,469,469,469,469,469
7,JP-08,茨城県,546,546,546,546,550,550,550,550,545,545,500,500,600
8,JP-09,栃木県,313,313,313,313,313,313,313,313,317,317,317,337,337
9,JP-10,群馬県,305,316,316,316,335,335,335,335,335,335,335,335,335
10,JP-11,埼玉県,1206,1206,1232,1232,1211,1211,1215,1229,1229,1267,1267,1272,1278
11,JP-12,千葉県,1147,1147,1147,1147,1147,1147,1147,1147,1145,1144,1144,1163,1093
12,JP-13,東京都,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
13,JP-14,神奈川県,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1555
14,JP-15,新潟県,456,456,456,456,456,456,456,456,456,456,456,456,456
15,JP-16,富山県,500,500,500,500,500,500,500,500,500,500,500,500,500
16,JP-17,石川県,258,258,258,258,258,258,258,258,258,258,258,258,258
17,JP-18,福井県,215,215,215,215,215,215,215,215,215,215,255,255,255
18,JP-19,山梨県,285,285,285,285,285,285,285,285,285,285,285,285,285
19,JP-20,長野県,350,350,350,350,350,350,350,350,350,350,350,350,350
20,JP-21,岐阜県,625,625,625,625,625,625,625,625,625,625,625,625,625
21,JP-22,静岡県,384,384,398,408,472,472,442,442,442,442,470,467,467
22,JP-23,愛知県,860,860,860,860,897,934,934,934,934,1102,1102,1102,1102
23,JP-24,三重県,349,349,349,349,349,349,349,349,349,357,357,357,357
24,JP-25,滋賀県,429,429,429,429,429,429,274,274,274,274,278,347,349
25,JP-26,京都府,569,569,569,650,650,680,680,680,720,720,720,720,720
26,JP-27,大阪府,1377,1391,1405,1405,1432,1432,1492,1542,1576,1572,1602,1602,1776
27,JP-28,兵庫県,663,671,671,671,671,671,671,756,756,756,756,756,756
28,JP-29,奈良県,467,467,467,467,467,467,467,467,370,370,370,370,368
29,JP-30,和歌山県,400,400,400,400,400,400,400,400,400,400,400,400,400
30,JP-31,鳥取県,313,313,313,313,313,313,313,313,313,313,313,313,313
31,JP-32,島根県,253,253,253,253,253,253,253,253,253,253,253,253,253
32,JP-33,岡山県,281,281,281,302,302,302,302,401,401,401,401,401,401
33,JP-34,広島県,553,553,553,553,553,553,553,553,553,453,453,479,471
34,JP-35,山口県,423,423,423,423,423,423,423,423,423,423,423,423,475
35,JP-36,徳島県,200,200,200,200,200,200,200,200,200,200,200,200,200
36,JP-37,香川県,196,196,196,196,199,199,199,199,199,199,199,199,199
37,JP-38,愛媛県,229,229,229,229,229,229,229,229,229,229,229,229,229
38,JP-39,高知県,200,200,200,200,200,200,200,200,200,200,200,200,200
39,JP-40,福岡県,551,551,551,551,551,551,551,551,576,600,610,641,677
40,JP-41,佐賀県,274,274,274,274,274,274,274,274,274,273,273,273,328
41,JP-42,長崎県,395,395,395,395,395,395,395,395,395,395,395,395,395
42,JP-43,熊本県,400,400,400,400,400,400,400,420,420,420,420,420,440
43,JP-44,大分県,330,330,330,332,336,337,355,355,355,355,359,359,365
44,JP-45,宮崎県,246,246,246,246,246,246,246,246,246,246,246,246,246
45,JP-46,鹿児島県,342,342,342,342,342,342,342,342,342,345,345,345,345
46,JP-47,沖縄県,434,434,433,433,447,447,456,469,469,469,469,469,469
