,japan_prefecture_code,都道府県名,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27,2021-02-03
0,JP-01,北海道,215,434,693,845,935,998,992,926,817,835,725,708,704,641
1,JP-02,青森県,55,50,29,14,22,32,35,18,34,39,35,41,33,38
2,JP-03,岩手県,4,7,35,79,71,53,87,85,56,48,65,66,28,21
3,JP-04,宮城県,52,65,68,68,47,63,88,100,91,82,105,129,134,74
4,JP-05,秋田県,4,6,7,4,4,1,3,4,18,17,18,32,42,41
5,JP-06,山形県,4,10,13,17,31,56,94,81,78,55,59,38,38,55
6,JP-07,福島県,28,34,45,52,48,63,125,163,156,220,269,280,213,186
7,JP-08,茨城県,22,30,71,121,165,180,150,118,119,162,230,279,261,260
8,JP-09,栃木県,26,22,35,88,123,144,123,139,158,155,201,207,186,150
9,JP-10,群馬県,31,23,29,79,144,165,167,207,185,180,211,219,181,197
10,JP-11,埼玉県,268,347,458,541,590,657,639,659,782,826,917,886,867,970
11,JP-12,千葉県,169,188,254,343,336,332,324,384,485,531,613,661,713,728
12,JP-13,東京都,1042,1070,1312,1611,1698,1851,1987,2148,2457,3123,3326,2957,2933,2924
13,JP-14,神奈川県,245,329,410,434,452,436,453,537,550,673,829,938,928,879
14,JP-15,新潟県,4,18,69,94,83,71,65,57,75,71,115,104,96,83
15,JP-16,富山県,0,2,5,16,17,6,15,28,29,55,68,75,52,36
16,JP-17,石川県,18,16,6,7,22,30,53,82,101,128,128,140,95,67
17,JP-18,福井県,1,10,19,30,22,17,16,12,17,18,39,71,77,64
18,JP-19,山梨県,14,31,52,53,49,77,40,41,56,81,141,91,58,21
19,JP-20,長野県,16,48,71,104,99,118,161,132,91,137,223,235,146,99
20,JP-21,岐阜県,42,88,103,134,200,247,287,268,305,325,373,404,364,301
21,JP-22,静岡県,34,78,84,160,195,164,176,177,180,155,177,173,171,149
22,JP-23,愛知県,148,200,286,372,382,423,513,518,593,649,702,697,718,699
23,JP-24,三重県,20,41,41,128,175,167,180,126,145,171,214,183,250,220
24,JP-25,滋賀県,22,45,48,75,61,50,54,60,144,192,205,167,179,145
25,JP-26,京都府,60,78,106,121,131,143,170,236,265,249,280,278,273,240
26,JP-27,大阪府,348,429,571,767,799,796,975,1031,1040,1040,1149,1198,1211,1172
27,JP-28,兵庫県,149,226,297,458,436,462,477,468,509,530,586,598,586,539
28,JP-29,奈良県,49,96,133,161,160,187,161,212,248,234,205,235,209,174
29,JP-30,和歌山県,6,21,52,84,84,71,67,34,27,98,133,144,136,100
30,JP-31,鳥取県,2,11,11,5,6,8,9,9,43,73,57,46,36,21
31,JP-32,島根県,0,0,1,3,6,11,16,22,32,22,21,16,14,24
32,JP-33,岡山県,87,66,74,92,89,83,144,156,133,142,148,147,119,77
33,JP-34,広島県,12,22,32,55,91,186,196,258,305,294,319,210,167,164
34,JP-35,山口県,4,18,55,97,59,51,45,55,96,103,135,177,223,154
35,JP-36,徳島県,0,6,6,11,6,6,3,6,5,22,59,73,60,37
36,JP-37,香川県,2,6,15,15,21,31,23,21,37,35,47,61,54,61
37,JP-38,愛媛県,0,5,27,56,64,51,43,26,41,53,65,68,69,43
38,JP-39,高知県,1,0,0,5,18,107,114,119,86,54,49,22,21,20
39,JP-40,福岡県,39,53,47,80,124,138,216,237,351,392,489,507,572,618
40,JP-41,佐賀県,6,10,6,13,25,30,29,21,21,41,79,117,105,52
41,JP-42,長崎県,0,4,5,12,10,7,26,63,137,154,200,187,155,126
42,JP-43,熊本県,45,46,68,69,66,76,152,156,179,213,271,268,253,175
43,JP-44,大分県,0,2,18,36,57,81,58,55,61,87,95,84,99,92
44,JP-45,宮崎県,2,3,4,19,34,42,35,30,28,63,96,95,96,70
45,JP-46,鹿児島県,12,35,27,18,19,45,70,43,66,80,99,92,124,99
46,JP-47,沖縄県,187,155,153,180,212,209,191,142,153,175,236,320,368,383
