,japan_prefecture_code,都道府県名,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27
0,JP-01,北海道,182,182,182,182,182,182,182,182,182,182,182,182,182
1,JP-02,青森県,31,31,31,31,31,31,31,31,31,31,31,31,31
2,JP-03,岩手県,59,59,59,59,59,59,59,59,59,59,59,59,60
3,JP-04,宮城県,43,43,43,43,43,43,43,43,43,43,43,43,43
4,JP-05,秋田県,22,22,22,22,22,24,24,24,24,24,24,24,24
5,JP-06,山形県,26,26,26,26,26,26,26,26,26,26,26,26,26
6,JP-07,福島県,42,42,42,42,42,42,42,42,42,42,42,42,42
7,JP-08,茨城県,72,72,72,72,70,70,70,71,70,70,70,70,70
8,JP-09,栃木県,41,41,41,41,41,41,41,41,46,46,46,46,46
9,JP-10,群馬県,23,23,23,23,71,71,71,71,71,71,71,71,71
10,JP-11,埼玉県,128,128,128,128,128,128,130,130,130,131,117,128,140
11,JP-12,千葉県,101,101,101,101,101,101,101,101,94,94,94,93,88
12,JP-13,東京都,500,500,500,500,500,500,500,500,500,500,500,500,500
13,JP-14,神奈川県,200,200,200,200,200,200,200,200,200,200,200,200,190
14,JP-15,新潟県,112,112,112,112,112,112,112,112,112,112,112,112,112
15,JP-16,富山県,36,36,36,36,36,36,36,36,36,36,36,36,36
16,JP-17,石川県,35,35,35,35,35,35,35,35,35,35,35,35,35
17,JP-18,福井県,24,24,24,24,24,24,24,24,24,24,24,24,24
18,JP-19,山梨県,24,24,24,24,24,24,24,24,24,24,24,24,24
19,JP-20,長野県,48,48,48,48,48,48,48,48,48,48,48,48,48
20,JP-21,岐阜県,51,51,51,51,51,51,51,51,51,51,51,51,51
21,JP-22,静岡県,34,34,34,34,73,73,38,38,38,38,38,40,40
22,JP-23,愛知県,70,70,70,70,70,70,70,103,103,103,103,125,125
23,JP-24,三重県,53,53,53,53,53,53,53,53,53,53,53,53,53
24,JP-25,滋賀県,45,45,45,45,45,45,44,44,44,44,44,42,47
25,JP-26,京都府,86,86,86,86,86,86,86,86,86,86,86,86,86
26,JP-27,大阪府,355,355,366,366,366,366,396,397,397,397,397,397,422
27,JP-28,兵庫県,110,110,110,110,110,110,110,116,116,116,116,116,116
28,JP-29,奈良県,27,27,27,27,27,27,27,27,28,28,28,28,28
29,JP-30,和歌山県,40,40,40,40,40,40,40,40,40,40,40,40,40
30,JP-31,鳥取県,47,47,47,47,47,47,47,47,47,47,47,47,47
31,JP-32,島根県,25,25,25,25,25,25,25,25,25,25,25,25,25
32,JP-33,岡山県,37,37,37,37,37,37,37,37,37,37,37,37,37
33,JP-34,広島県,72,72,72,72,72,72,72,72,72,33,33,33,36
34,JP-35,山口県,137,137,137,137,137,137,137,137,137,137,137,137,124
35,JP-36,徳島県,25,25,25,25,25,25,25,25,25,25,25,25,25
36,JP-37,香川県,26,26,26,26,26,26,26,26,26,26,26,26,26
37,JP-38,愛媛県,33,33,33,33,33,33,33,33,33,33,33,33,33
38,JP-39,高知県,58,58,58,58,58,58,58,58,58,58,58,58,58
39,JP-40,福岡県,90,90,90,90,90,90,104,104,105,110,110,110,110
40,JP-41,佐賀県,46,46,46,46,46,46,46,46,46,46,46,46,46
41,JP-42,長崎県,27,27,27,27,27,27,27,27,27,27,27,27,27
42,JP-43,熊本県,59,59,59,59,59,59,59,59,59,59,59,59,59
43,JP-44,大分県,41,41,41,41,41,41,41,41,41,41,41,41,43
44,JP-45,宮崎県,33,33,33,33,33,33,33,33,33,33,33,33,33
45,JP-46,鹿児島県,38,38,38,38,38,38,38,38,38,38,38,38,38
46,JP-47,沖縄県,53,53,53,53,53,53,53,53,53,53,53,53,53
