,japan_prefecture_code,都道府県名,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27
0,JP-01,北海道,6,11,20,19,28,26,34,31,22,23,12,13,18
1,JP-02,青森県,3,2,2,2,2,2,2,2,2,2,2,3,2
2,JP-03,岩手県,0,0,0,0,2,4,3,3,3,4,2,1,1
3,JP-04,宮城県,5,6,5,8,5,3,3,6,3,5,9,10,8
4,JP-05,秋田県,1,1,1,0,0,0,0,0,0,0,0,0,1
5,JP-06,山形県,0,0,0,0,1,1,1,6,6,5,2,1,2
6,JP-07,福島県,3,3,5,4,5,5,3,5,7,8,9,8,11
7,JP-08,茨城県,0,1,3,9,11,17,13,10,7,8,9,12,17
8,JP-09,栃木県,0,4,4,5,7,10,11,12,9,9,17,20,21
9,JP-10,群馬県,4,2,2,2,1,7,4,10,10,10,12,12,11
10,JP-11,埼玉県,9,8,15,19,31,26,42,32,54,70,67,82,92
11,JP-12,千葉県,10,6,8,9,10,15,13,18,16,22,31,45,54
12,JP-13,東京都,128,154,187,250,246,275,332,343,379,437,523,535,567
13,JP-14,神奈川県,24,23,35,44,60,65,56,57,59,79,102,111,105
14,JP-15,新潟県,0,0,0,0,0,0,0,0,0,0,0,2,1
15,JP-16,富山県,0,0,0,0,0,0,1,1,2,2,2,3,4
16,JP-17,石川県,1,1,0,0,0,0,0,0,7,6,10,7,3
17,JP-18,福井県,1,0,0,0,0,2,2,2,1,0,1,4,4
18,JP-19,山梨県,0,1,2,2,2,0,1,2,3,2,4,5,4
19,JP-20,長野県,0,0,0,0,0,4,6,5,3,3,9,4,2
20,JP-21,岐阜県,1,0,0,1,1,1,5,8,11,12,17,15,14
21,JP-22,静岡県,0,0,2,4,8,13,16,8,9,6,10,6,9
22,JP-23,愛知県,11,15,15,16,30,28,35,39,39,38,51,54,67
23,JP-24,三重県,4,3,5,5,5,6,5,4,4,5,4,6,6
24,JP-25,滋賀県,0,0,0,2,2,4,2,3,7,12,17,20,14
25,JP-26,京都府,15,13,19,19,14,16,16,27,28,26,27,37,35
26,JP-27,大阪府,50,91,103,181,209,212,219,256,259,257,261,256,270
27,JP-28,兵庫県,16,17,17,32,34,41,43,41,44,54,70,69,72
28,JP-29,奈良県,0,1,3,6,6,6,9,11,14,10,9,14,7
29,JP-30,和歌山県,0,0,1,3,1,1,3,1,2,2,0,3,1
30,JP-31,鳥取県,0,0,0,0,0,0,0,0,0,1,2,2,0
31,JP-32,島根県,0,0,0,0,1,0,1,1,2,1,1,0,0
32,JP-33,岡山県,2,1,3,3,5,0,3,8,8,9,17,21,10
33,JP-34,広島県,0,1,1,0,5,6,13,16,19,14,15,14,12
34,JP-35,山口県,0,1,3,1,3,3,5,3,3,3,2,2,2
35,JP-36,徳島県,0,0,2,2,1,1,0,0,0,0,0,0,1
36,JP-37,香川県,0,0,0,0,0,0,0,0,0,1,2,1,1
37,JP-38,愛媛県,0,0,0,3,6,2,2,4,3,4,4,4,4
38,JP-39,高知県,0,0,0,0,0,0,1,4,9,5,4,4,6
39,JP-40,福岡県,4,4,3,3,6,9,12,12,16,22,19,27,35
40,JP-41,佐賀県,0,0,0,0,0,0,0,0,0,1,1,2,2
41,JP-42,長崎県,0,0,0,0,0,0,2,2,5,9,8,6,1
42,JP-43,熊本県,1,3,3,5,8,7,7,4,7,12,20,19,20
43,JP-44,大分県,0,0,0,0,1,2,3,4,3,4,6,5,4
44,JP-45,宮崎県,1,1,0,2,2,1,2,1,0,2,5,8,8
45,JP-46,鹿児島県,0,0,0,0,0,0,0,0,2,2,2,2,2
46,JP-47,沖縄県,19,14,14,21,26,21,19,15,20,17,27,30,38
