,japan_prefecture_code,都道府県名,new_ratio
0,JP-01,北海道,0.48195488721804514
1,JP-02,青森県,0.32432497415306194
2,JP-03,岩手県,0.32432497415306194
3,JP-04,宮城県,0.32432497415306194
4,JP-05,秋田県,0.32432497415306194
5,JP-06,山形県,0.32432497415306194
6,JP-07,福島県,0.32432497415306194
7,JP-08,茨城県,0.4276315789473684
8,JP-09,栃木県,0.32432497415306194
9,JP-10,群馬県,0.32432497415306194
10,JP-11,埼玉県,0.24922918807810895
11,JP-12,千葉県,0.13313825896122897
12,JP-13,東京都,0.2967322914552466
13,JP-14,神奈川県,0.3324508320726172
14,JP-15,新潟県,0.32432497415306194
15,JP-16,富山県,0.32432497415306194
16,JP-17,石川県,0.32432497415306194
17,JP-18,福井県,0.32432497415306194
18,JP-19,山梨県,0.32432497415306194
19,JP-20,長野県,0.32432497415306194
20,JP-21,岐阜県,0.32432497415306194
21,JP-22,静岡県,0.32432497415306194
22,JP-23,愛知県,0.312751677852349
23,JP-24,三重県,0.32432497415306194
24,JP-25,滋賀県,0.32432497415306194
25,JP-26,京都府,0.21447721179624665
26,JP-27,大阪府,0.263016157989228
27,JP-28,兵庫県,0.3278588807785888
28,JP-29,奈良県,0.32432497415306194
29,JP-30,和歌山県,0.32432497415306194
30,JP-31,鳥取県,0.32432497415306194
31,JP-32,島根県,0.32432497415306194
32,JP-33,岡山県,0.32432497415306194
33,JP-34,広島県,0.32432497415306194
34,JP-35,山口県,0.32432497415306194
35,JP-36,徳島県,0.32432497415306194
36,JP-37,香川県,0.32432497415306194
37,JP-38,愛媛県,0.32432497415306194
38,JP-39,高知県,0.32432497415306194
39,JP-40,福岡県,0.3212058212058212
40,JP-41,佐賀県,0.32432497415306194
41,JP-42,長崎県,0.32432497415306194
42,JP-43,熊本県,0.32432497415306194
43,JP-44,大分県,0.32432497415306194
44,JP-45,宮崎県,0.32432497415306194
45,JP-46,鹿児島県,0.32432497415306194
46,JP-47,沖縄県,0.5674074074074074
