,japan_prefecture_code,都道府県名,over_severe_beds080,over_severe_beds100,over_hospital_beds080,over_hospital_beds100
0,JP-01,北海道,,,,
1,JP-02,青森県,,,,
2,JP-03,岩手県,,,,
3,JP-04,宮城県,,,,
4,JP-05,秋田県,,,,
5,JP-06,山形県,,,,
6,JP-07,福島県,,,,
7,JP-08,茨城県,,,,
8,JP-09,栃木県,,,,
9,JP-10,群馬県,,,,
10,JP-11,埼玉県,,,,
11,JP-12,千葉県,,,,
12,JP-13,東京都,2021-02-07,2021-02-07,,
13,JP-14,神奈川県,,,,
14,JP-15,新潟県,,,,
15,JP-16,富山県,,,,
16,JP-17,石川県,,,,
17,JP-18,福井県,,,,
18,JP-19,山梨県,,,,
19,JP-20,長野県,,,,
20,JP-21,岐阜県,,,,
21,JP-22,静岡県,,,,
22,JP-23,愛知県,,,,
23,JP-24,三重県,,,,
24,JP-25,滋賀県,,,,
25,JP-26,京都府,,,,
26,JP-27,大阪府,,,,
27,JP-28,兵庫県,,,,
28,JP-29,奈良県,,,,
29,JP-30,和歌山県,,,,
30,JP-31,鳥取県,,,,
31,JP-32,島根県,,,,
32,JP-33,岡山県,,,,
33,JP-34,広島県,,,,
34,JP-35,山口県,,,,
35,JP-36,徳島県,,,,
36,JP-37,香川県,,,,
37,JP-38,愛媛県,,,,
38,JP-39,高知県,,,,
39,JP-40,福岡県,,,2021-02-07,
40,JP-41,佐賀県,,,,
41,JP-42,長崎県,,,,
42,JP-43,熊本県,,,,
43,JP-44,大分県,,,,
44,JP-45,宮崎県,,,,
45,JP-46,鹿児島県,,,,
46,JP-47,沖縄県,,,,
